Date,Number of articles
22. Jan 2020,1
23. Jan 2020,2
24. Jan 2020,4
25. Jan 2020,3
26. Jan 2020,3
27. Jan 2020,9
28. Jan 2020,13
29. Jan 2020,15
30. Jan 2020,9
31. Jan 2020,9
1. Feb 2020,5
2. Feb 2020,4
3. Feb 2020,7
4. Feb 2020,13
5. Feb 2020,10
6. Feb 2020,6
7. Feb 2020,5
8. Feb 2020,6
9. Feb 2020,2
10. Feb 2020,4
11. Feb 2020,9
12. Feb 2020,6
13. Feb 2020,9
14. Feb 2020,3
15. Feb 2020,7
16. Feb 2020,2
17. Feb 2020,6
18. Feb 2020,8
19. Feb 2020,7
20. Feb 2020,6
21. Feb 2020,4
22. Feb 2020,3
23. Feb 2020,3
24. Feb 2020,13
25. Feb 2020,19
26. Feb 2020,24
27. Feb 2020,28
28. Feb 2020,27
29. Feb 2020,7
1. Mar 2020,10
2. Mar 2020,21
3. Mar 2020,29
4. Mar 2020,24
5. Mar 2020,32
6. Mar 2020,28
7. Mar 2020,14
8. Mar 2020,13
9. Mar 2020,31
10. Mar 2020,52
11. Mar 2020,71
12. Mar 2020,75
13. Mar 2020,80
14. Mar 2020,63
15. Mar 2020,51
16. Mar 2020,98
17. Mar 2020,105
18. Mar 2020,94
19. Mar 2020,94
20. Mar 2020,113
21. Mar 2020,56
22. Mar 2020,44
23. Mar 2020,82
24. Mar 2020,87
25. Mar 2020,78
26. Mar 2020,100
27. Mar 2020,79
28. Mar 2020,69
29. Mar 2020,59
30. Mar 2020,75
31. Mar 2020,87
1. Apr 2020,82
2. Apr 2020,96
3. Apr 2020,86
4. Apr 2020,65
5. Apr 2020,52
6. Apr 2020,87
7. Apr 2020,52
8. Apr 2020,70
9. Apr 2020,61
10. Apr 2020,47
11. Apr 2020,44
12. Apr 2020,40
13. Apr 2020,46
14. Apr 2020,76
15. Apr 2020,60
16. Apr 2020,64
17. Apr 2020,71
18. Apr 2020,44
19. Apr 2020,40
20. Apr 2020,69
21. Apr 2020,62
22. Apr 2020,83
23. Apr 2020,73
24. Apr 2020,64
25. Apr 2020,58
26. Apr 2020,54
27. Apr 2020,66
28. Apr 2020,64
29. Apr 2020,61
30. Apr 2020,56
1. May 2020,31
2. May 2020,45
3. May 2020,38
4. May 2020,74
5. May 2020,40
6. May 2020,65
7. May 2020,46
8. May 2020,38
9. May 2020,34
10. May 2020,37
11. May 2020,63
12. May 2020,53
13. May 2020,50
14. May 2020,49
15. May 2020,58
16. May 2020,31
17. May 2020,29
18. May 2020,56
19. May 2020,51
20. May 2020,43
21. May 2020,48
22. May 2020,57
23. May 2020,37
24. May 2020,26
25. May 2020,46
26. May 2020,39
27. May 2020,31
28. May 2020,44
29. May 2020,40
30. May 2020,27
31. May 2020,15
1. Jun 2020,24
2. Jun 2020,27
3. Jun 2020,26
4. Jun 2020,25
5. Jun 2020,31
6. Jun 2020,15
7. Jun 2020,13
8. Jun 2020,23
9. Jun 2020,22
10. Jun 2020,15
11. Jun 2020,24
12. Jun 2020,17
13. Jun 2020,13
14. Jun 2020,9
15. Jun 2020,22
16. Jun 2020,20
17. Jun 2020,26
18. Jun 2020,20
19. Jun 2020,17
20. Jun 2020,18
21. Jun 2020,8
22. Jun 2020,14
23. Jun 2020,21
24. Jun 2020,16
25. Jun 2020,16
26. Jun 2020,19
27. Jun 2020,8
28. Jun 2020,11
29. Jun 2020,21
30. Jun 2020,15
1. Junce 2020,20
2. Junce 2020,19
3. Junce 2020,18
4. Junce 2020,13
5. Junce 2020,19
6. Junce 2020,17
7. Junce 2020,21
8. Junce 2020,22
9. Junce 2020,21
10. Junce 2020,15
11. Junce 2020,6
12. Junce 2020,8
13. Junce 2020,18
14. Junce 2020,16
15. Junce 2020,10
16. Junce 2020,13
17. Junce 2020,16
18. Junce 2020,9
19. Junce 2020,8
20. Junce 2020,20
21. Junce 2020,16
22. Junce 2020,21
23. Junce 2020,27
24. Junce 2020,32
25. Junce 2020,17
26. Junce 2020,8
27. Junce 2020,12
28. Junce 2020,29
29. Junce 2020,22
30. Junce 2020,23
31. Junce 2020,20
1. Aug 2020,9
2. Aug 2020,8
3. Aug 2020,21
4. Aug 2020,17
5. Aug 2020,14
6. Aug 2020,11
7. Aug 2020,23
8. Aug 2020,7
9. Aug 2020,6
10. Aug 2020,11
11. Aug 2020,17
12. Aug 2020,14
13. Aug 2020,16
14. Aug 2020,17
15. Aug 2020,3
16. Aug 2020,9
17. Aug 2020,23
18. Aug 2020,17
19. Aug 2020,19
20. Aug 2020,16
21. Aug 2020,13
22. Aug 2020,15
23. Aug 2020,6
24. Aug 2020,17
25. Aug 2020,23
26. Aug 2020,17
27. Aug 2020,12
28. Aug 2020,12
29. Aug 2020,6
30. Aug 2020,6
31. Aug 2020,14
1. Sep 2020,16
2. Sep 2020,20
3. Sep 2020,18
4. Sep 2020,21
5. Sep 2020,10
6. Sep 2020,10
7. Sep 2020,15
8. Sep 2020,25
9. Sep 2020,33
10. Sep 2020,24
11. Sep 2020,23
12. Sep 2020,7
13. Sep 2020,12
14. Sep 2020,28
15. Sep 2020,27
16. Sep 2020,21
17. Sep 2020,20
18. Sep 2020,37
19. Sep 2020,12
20. Sep 2020,13
21. Sep 2020,36
22. Sep 2020,25
23. Sep 2020,30
24. Sep 2020,28
25. Sep 2020,30
26. Sep 2020,8
27. Sep 2020,10
28. Sep 2020,10
29. Sep 2020,35
30. Sep 2020,31
1. Oct 2020,16
2. Oct 2020,20
3. Oct 2020,6
4. Oct 2020,10
5. Oct 2020,20
6. Oct 2020,29
7. Oct 2020,22
8. Oct 2020,36
9. Oct 2020,31
10. Oct 2020,25
11. Oct 2020,14
12. Oct 2020,32
13. Oct 2020,47
14. Oct 2020,40
15. Oct 2020,47
16. Oct 2020,31
17. Oct 2020,22
18. Oct 2020,13
19. Oct 2020,32
20. Oct 2020,40
21. Oct 2020,41
22. Oct 2020,49
23. Oct 2020,37
24. Oct 2020,19
25. Oct 2020,21
26. Oct 2020,35
27. Oct 2020,36
28. Oct 2020,18
29. Oct 2020,32
30. Oct 2020,35
31. Oct 2020,25
1. Nov 2020,23
2. Nov 2020,29
3. Nov 2020,28
4. Nov 2020,28
5. Nov 2020,18
6. Nov 2020,35
7. Nov 2020,11
8. Nov 2020,12
9. Nov 2020,23
10. Nov 2020,29
11. Nov 2020,32
12. Nov 2020,24
13. Nov 2020,22
14. Nov 2020,19
15. Nov 2020,10
16. Nov 2020,24
17. Nov 2020,14
18. Nov 2020,26
19. Nov 2020,14
20. Nov 2020,17
21. Nov 2020,11
22. Nov 2020,9
23. Nov 2020,25
24. Nov 2020,17
25. Nov 2020,24
26. Nov 2020,17
27. Nov 2020,20
28. Nov 2020,13
29. Nov 2020,17
30. Nov 2020,21
1. Dec 2020,19
2. Dec 2020,27
3. Dec 2020,21
4. Dec 2020,18
5. Dec 2020,12
6. Dec 2020,12
7. Dec 2020,19
8. Dec 2020,20
9. Dec 2020,24
10. Dec 2020,21
11. Dec 2020,16
12. Dec 2020,9
13. Dec 2020,9
14. Dec 2020,27
15. Dec 2020,20
16. Dec 2020,28
17. Dec 2020,25
18. Dec 2020,21
19. Dec 2020,17
20. Dec 2020,14
21. Dec 2020,17
22. Dec 2020,19
23. Dec 2020,20
24. Dec 2020,10
25. Dec 2020,8
26. Dec 2020,8
27. Dec 2020,15
28. Dec 2020,16
29. Dec 2020,13
30. Dec 2020,25
31. Dec 2020,13
1. Jan 2021,12
2. Jan 2021,11
3. Jan 2021,11
4. Jan 2021,34
5. Jan 2021,26
6. Jan 2021,18
7. Jan 2021,22
8. Jan 2021,22
9. Jan 2021,19
10. Jan 2021,18
11. Jan 2021,25
12. Jan 2021,33
13. Jan 2021,28
14. Jan 2021,21
15. Jan 2021,34
16. Jan 2021,17
17. Jan 2021,7
18. Jan 2021,25
19. Jan 2021,22
20. Jan 2021,14
21. Jan 2021,28
22. Jan 2021,36
23. Jan 2021,15
24. Jan 2021,15
25. Jan 2021,30
26. Jan 2021,25
27. Jan 2021,28
28. Jan 2021,31
29. Jan 2021,23
30. Jan 2021,21
31. Jan 2021,16
1. Feb 2021,22
